Date;Open;High;Low;Close;Adj Close;Volume
21/06/1991;23.721319;23.900574;23.691444;23.810946;11.145652;13155751
24/06/1991;23.691444;23.810946;23.482313;23.51219;11.005802;9813990
25/06/1991;23.571941;23.810946;23.482313;23.751196;11.11768;7176815
26/06/1991;23.691444;23.751196;23.452438;23.571941;11.033769;7116984
27/06/1991;23.601816;23.601816;23.273184;23.332935;10.921895;7586010
28/06/1991;23.243307;23.36281;23.093929;23.213432;10.865952;7412374
01/07/1991;23.332935;23.571941;23.273184;23.51219;11.005802;5625806
02/07/1991;23.482313;23.751196;23.452438;23.691444;11.089707;5060966
03/07/1991;23.601816;23.631693;23.452438;23.452438;10.977828;4046346
05/07/1991;23.452438;23.721319;23.392687;23.571941;11.033769;3284440
08/07/1991;23.422562;24.020077;23.36281;24.020077;11.243542;5817852
09/07/1991;23.990202;24.109703;23.721319;23.781071;11.131661;5278953
10/07/1991;23.870699;23.990202;23.542065;23.601816;11.047759;5449660
11/07/1991;23.631693;23.661568;23.422562;23.482313;10.991814;4967663
12/07/1991;23.661568;23.840822;23.482313;23.751196;11.11768;5880194
15/07/1991;23.781071;23.870699;23.721319;23.721319;11.103695;3568115
16/07/1991;23.781071;23.781071;22.944551;23.093929;10.810022;9208147
17/07/1991;23.004301;23.153681;22.974426;23.004301;10.768066;6473485
18/07/1991;23.093929;23.51219;22.854923;23.482313;10.991814;9870893
19/07/1991;23.900574;24.109703;23.542065;24.020077;11.243542;10765014
22/07/1991;24.13958;24.408461;24.109703;24.378586;11.411352;7645842
23/07/1991;24.557838;24.617592;24.049952;24.049952;11.257524;5494429
24/07/1991;24.079828;24.229206;23.900574;24.079828;11.271508;4525414
25/07/1991;24.199331;24.288958;24.020077;24.020077;11.243542;3533388
26/07/1991;24.049952;24.13958;23.930449;24.020077;11.243542;2678597
29/07/1991;24.020077;24.229206;23.990202;24.229206;11.341433;3477322
30/07/1991;24.318834;24.378586;23.990202;24.288958;11.369402;4519138
31/07/1991;24.348709;24.408461;24.169455;24.199331;11.32745;3648866
01/08/1991;24.13958;24.318834;24.079828;24.199331;11.32745;3778152
02/08/1991;24.259083;24.288958;23.960325;23.990202;11.229557;3732965
05/08/1991;23.990202;24.199331;23.990202;24.13958;11.299477;5214101
06/08/1991;23.960325;24.079828;23.810946;23.990202;11.365718;5861366
07/08/1991;23.990202;24.020077;23.661568;23.661568;11.210021;4854695
08/08/1991;23.691444;23.840822;23.661568;23.721319;11.238335;4431693
09/08/1991;23.721319;23.810946;23.601816;23.631693;11.195872;3516652
12/08/1991;23.631693;23.781071;23.571941;23.571941;11.167559;3278164
13/08/1991;23.661568;23.870699;23.51219;23.661568;11.210021;5324977
14/08/1991;23.751196;23.751196;23.51219;23.542065;11.153408;4692356
15/08/1991;23.542065;23.661568;23.452438;23.51219;11.139255;3361007
16/08/1991;23.51219;23.571941;23.064054;23.064054;10.926941;7032886
19/08/1991;22.287285;22.854923;21.988527;22.705545;10.757092;12636098
20/08/1991;23.004301;23.004301;22.73542;22.884798;10.842014;6822849
21/08/1991;22.974426;23.034178;22.466539;22.854923;10.827862;11832770
22/08/1991;22.854923;23.034178;22.496414;22.556166;10.686318;9060452
23/08/1991;22.556166;22.974426;22.556166;22.675669;10.742935;7129954
26/08/1991;22.73542;22.854923;22.645794;22.73542;10.771249;3745935
27/08/1991;22.765297;22.854923;22.615917;22.765297;10.785399;5265982
28/08/1991;22.73542;22.765297;22.526291;22.586042;10.700473;6764273
29/08/1991;22.645794;22.914675;22.466539;22.825048;10.813711;9390151
30/08/1991;22.884798;23.213432;22.884798;23.153681;10.969401;5615346
03/09/1991;23.36281;23.631693;23.332935;23.422562;11.096792;6938746
04/09/1991;23.51219;23.721319;23.332935;23.571941;11.167559;6700258
05/09/1991;23.571941;23.691444;23.332935;23.482313;11.125096;4160988
06/09/1991;23.482313;23.810946;23.36281;23.751196;11.252481;5464722
09/09/1991;23.781071;24.169455;23.781071;24.13958;11.436489;4949254
10/09/1991;24.199331;24.199331;23.721319;23.810946;11.280793;7102758
11/09/1991;23.900574;24.229206;23.810946;24.229206;11.478954;6643774
12/09/1991;24.468212;24.856598;24.438337;24.856598;11.776188;9368394
13/09/1991;24.76697;24.796844;24.259083;24.587715;11.648794;7909852
